NPG,NPxG,NPxG90,NPxG90xA90,a,apps,goals,id,min,number,player,team,xA,xA90,xG,xG90,xG90xA90,xGBuildup,xGBuildup90,xGChain,xGChain90
0,1.2579729985445738,0.2124157033189712,0.6527353466381834,1,9,0,6055,533,240,Phil Foden,Manchester City,2.6076707765460014,0.44031964331921225,1.2579729985445738,0.2124157033189712,0.6527353466381834,2.2995753809809685,0.3882960305596382,4.6969906985759735,0.7931128759321531
0,0.42256050929427147,0.07442357306552727,0.2699382894776339,2,10,0,6063,511,241,Jacob Murphy,Newcastle United,1.110089112073183,0.1955147164121066,0.42256050929427147,0.07442357306552727,0.2699382894776339,0.7628941759467125,0.13436492335656383,2.1306786499917507,0.37526629843298936
0,0.0,0.0,0.09464271670701552,0,4,0,6080,49,242,Victor Lindelöf,Manchester United,0.05152770131826401,0.09464271670701552,0.0,0.0,0.09464271670701552,0.05316841974854469,0.09765628117079637,0.1046961210668087,0.1922989978778119
0,0.2619098871946335,0.05102140659635717,0.09577958372893272,0,9,0,6088,462,243,Orel Mangala,Everton,0.2297586426138878,0.044758177132575544,0.2619098871946335,0.05102140659635717,0.09577958372893272,1.3402580078691244,0.2610892223121671,1.7476047948002815,0.34044249249356134
0,0.2593321204185486,0.4024119109942995,0.4024119109942995,0,3,0,6098,58,244,Niclas Füllkrug,West Ham,0.0,0.0,0.2593321204185486,0.4024119109942995,0.4024119109942995,0.1086190789937973,0.16854684671451306,0.3679511845111847,0.5709587345863211
0,0.38574038445949554,0.05501843835396925,0.11986213643251432,0,11,0,6104,631,245,Will Hughes,Crystal Palace,0.45462637208402157,0.06484369807854508,0.38574038445949554,0.05501843835396925,0.11986213643251432,1.7236676290631294,0.24584799780615157,2.2131469510495663,0.31566279808947856
0,0.4982820674777031,0.07152374174321097,0.15583398052308547,0,11,0,6145,627,246,Daichi Kamada,Crystal Palace,0.5873613301664591,0.08431023877987451,0.4982820674777031,0.07152374174321097,0.15583398052308547,1.9468925278633833,0.27945825758804543,2.6406544195488095,0.37904130424145593
0,0.08018729835748672,0.17182992505175726,0.17182992505175726,0,3,0,6157,42,247,Timothy Castagne,Fulham,0.0,0.0,0.08018729835748672,0.17182992505175726,0.17182992505175726,0.4298570044338703,0.9211221523582935,0.4453290104866028,0.9542764510427203
0,0.5272391685284674,0.049121661664142925,0.13712055152513503,2,11,0,6163,966,248,Nélson Semedo,Wolverhampton Wanderers,0.9445214178413153,0.08799888986099211,0.5272391685284674,0.049121661664142925,0.13712055152513503,1.5219959020614624,0.1418008604405089,2.714465184137225,0.2529004829941514
0,1.9199827872216702,0.15999856560180584,0.20845253734538952,1,12,0,6174,1080,249,Nikola Milenkovic,Nottingham Forest,0.5814476609230042,0.04845397174358368,1.9199827872216702,0.15999856560180584,0.20845253734538952,1.7050882242619991,0.14209068535516658,2.512368220835924,0.20936401840299368
0,0.7923686020076275,0.48844639849785254,0.7497244455838856,1,10,0,6219,146,250,Enes Ünal,Bournemouth,0.42385105416178703,0.2612780470860331,0.7923686020076275,0.48844639849785254,0.7497244455838856,0.3099382799118757,0.19105784378129326,1.030603626742959,0.6353036055264816
0,0.13554370403289795,0.011295308669408163,0.012868414632976055,0,12,0,6221,1080,251,Pau Torres,Aston Villa,0.018877271562814713,0.0015731059635678928,0.13554370403289795,0.011295308669408163,0.012868414632976055,4.870370239019394,0.4058641865849495,4.883564859628677,0.4069637383023898
0,0.06183089315891266,0.018927824436401834,0.021881530137390505,0,7,0,6310,294,252,Boubakary Soumare,Leicester,0.009648771956562996,0.002953705700988672,0.06183089315891266,0.018927824436401834,0.021881530137390505,2.331473458558321,0.7137163648647922,2.4029531069099903,0.7355978898704052
0,0.25243957806378603,0.028831931504747135,0.04084395269537108,0,9,0,6314,788,253,Joachim Andersen,"Crystal Palace,Fulham",0.10517191886901855,0.012012021190623947,0.25243957806378603,0.028831931504747135,0.04084395269537108,3.5484195705503225,0.40527634689026526,3.5778141375631094,0.4086335943917257
0,0.10478504747152328,0.028928387338764096,0.3614442496120564,3,6,0,6345,326,254,Jadon Sancho,Chelsea,1.2044463455677032,0.33251586227329233,0.10478504747152328,0.028928387338764096,0.3614442496120564,1.219297170639038,0.33661578330525593,2.4423712119460106,0.6742742609666901
0,0.0,0.0,0.0,0,1,0,6418,11,255,Hamza Choudhury,Leicester,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.03212675452232361,0.007264843987460113,0.12400655169507965,1,6,0,6424,398,256,Ben Johnson,Ipswich,0.5162577740848064,0.11674170770761955,0.03212675452232361,0.007264843987460113,0.12400655169507965,0.18471256643533707,0.041769173314523456,0.7009703442454338,0.15851088186454534
0,0.9659855552017689,0.17492696170655775,0.26071805521935765,0,8,0,6482,497,257,Eddie Nketiah,Crystal Palace,0.4737574830651283,0.0857910935127999,0.9659855552017689,0.17492696170655775,0.26071805521935765,1.6039048805832863,0.2904455518158868,2.6446682289242744,0.478913763789104
0,0.18779903650283813,0.019360725412663725,0.048502260415824415,0,10,0,6490,873,258,Manuel Akanji,Manchester City,0.2826728895306587,0.029141535003160694,0.18779903650283813,0.019360725412663725,0.048502260415824415,7.75829753279686,0.7998244879172021,7.880193799734116,0.8123911133746511
0,0.5158929079771042,0.1052842669341029,0.4011878500483474,1,11,0,6630,441,259,Joe Willock,Newcastle United,1.449927557259798,0.2959035831142445,0.5158929079771042,0.1052842669341029,0.4011878500483474,0.9742334922775626,0.1988231616892985,2.5061708241701126,0.5114634335041046
0,0.19606037065386772,0.02591106220095168,0.02591106220095168,0,10,0,6722,681,260,Konstantinos Mavropanos,West Ham,0.0,0.0,0.19606037065386772,0.02591106220095168,0.02591106220095168,1.5181279927492142,0.20063365542941156,1.5650342646986246,0.2068327222068667
0,0.09884825348854065,0.013792779556540556,0.017944814810572668,0,10,0,6816,645,261,Jean-Clair Todibo,West Ham,0.02975625265389681,0.004152035254032113,0.09884825348854065,0.013792779556540556,0.017944814810572668,1.2726370953023434,0.1775772691119549,1.2726370953023434,0.1775772691119549
0,0.06903266999870539,0.03633298420984494,0.08440179309170497,0,8,0,6827,171,262,Bobby Reid,Leicester,0.09133073687553406,0.04806880888186003,0.06903266999870539,0.03633298420984494,0.08440179309170497,0.5751510038971901,0.30271105468273163,0.6441836543381214,0.3390440285990113
0,0.0,0.0,0.7277216615953616,0,9,0,6835,126,263,Tom Cairney,Fulham,1.0188103262335062,0.7277216615953616,0.0,0.0,0.7277216615953616,2.5672165900468826,1.8337261357477732,2.5672165900468826,1.8337261357477732
0,0.08295150846242905,0.08203995342438038,0.08203995342438038,0,2,0,6850,91,264,Willy Boly,Nottingham Forest,0.0,0.0,0.08295150846242905,0.08203995342438038,0.08203995342438038,0.08671405166387558,0.08576114999723959,0.08671405166387558,0.08576114999723959
0,0.0,0.0,0.0,0,2,0,6851,94,265,Conor Coady,Leicester,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.08508986979722977,0.03717518583374116,0.07852944861916662,0,6,0,6852,206,266,Matt Doherty,Wolverhampton Wanderers,0.09465531259775162,0.041354262785425464,0.08508986979722977,0.03717518583374116,0.07852944861916662,0.9203572124242783,0.40209781125332544,1.0054470896720886,0.43927300034217465
0,0.0,0.0,0.0,0,2,0,6885,93,267,Axel Disasi,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.04596234947238282,0,12,0,6888,1019,268,William Saliba,Arsenal,0.5203959345817566,0.04596234947238282,0.0,0.0,0.04596234947238282,5.7773416340351105,0.5102656987862217,5.7773416340351105,0.5102656987862217
0,0.0,0.0,0.0,0,13,0,6903,1170,269,Matz Sels,Nottingham Forest,0.0,0.0,0.0,0.0,0.0,0.7153052119538188,0.05502347784260145,0.7153052119538188,0.05502347784260145
0,0.0,0.0,0.0,0,12,0,7027,1080,270,Arijanet Muric,Ipswich,0.0,0.0,0.0,0.0,0.0,1.5282492525875568,0.1273541043822964,1.5282492525875568,0.1273541043822964
0,0.0,0.0,0.0,0,13,0,7047,1170,271,Mark Flekken,Brentford,0.0,0.0,0.0,0.0,0.0,2.7344447979703546,0.21034190753618112,2.7344447979703546,0.21034190753618112
0,0.29023629054427147,0.04519250198786234,0.05960437269385092,0,12,0,7078,578,272,Sean Longstaff,Newcastle United,0.09255623631179333,0.01441187070598858,0.29023629054427147,0.04519250198786234,0.05960437269385092,1.3812428191304207,0.2150724112832835,1.585202157497406,0.24683078576949227
0,0.016726769506931305,0.0017900228961044203,0.025683323388717687,0,11,0,7134,841,273,Marc Cucurella,Chelsea,0.22326961904764175,0.02389330049261327,0.016726769506931305,0.0017900228961044203,0.025683323388717687,4.34005481749773,0.4644529531210413,4.453525595366955,0.4765960803603162
